time,H1,L1
1420878138.3537798,-2.179725888901585e-22,4.521576715911844e-23
1420878138.354024,-1.2754280574674405e-22,-7.107856365106273e-22
1420878138.354268,-2.6508188744673884e-22,4.803023365053046e-22
1420878138.3545122,4.966839133950618e-22,-7.118101614897751e-23
1420878138.3547564,-4.2089139002670266e-22,-1.6417352620652918e-23
1420878138.3550005,-5.089350951143174e-23,9.584478940725986e-23
1420878138.3552446,-3.683564220400044e-22,-1.4765547685950407e-22
1420878138.3554888,-7.612673056223986e-23,7.734845908624369e-23
1420878138.355733,1.9085506506332595e-22,2.147904717565061e-22
1420878138.355977,-2.455997961638449e-22,-2.195330563686678e-22
1420878138.3562212,1.6396262415344062e-22,-1.5256210583155614e-22
1420878138.3564653,-1.149465390336688e-22,9.426473114342077e-24
1420878138.3567095,-1.4299714405607173e-22,-4.547342659957479e-23
1420878138.3569536,3.3667925932399635e-22,2.1832468785397398e-23
1420878138.3571978,-2.5182563855260138e-23,-2.7716835200922955e-22
1420878138.357442,3.750263215330979e-22,1.6470725755952678e-22
1420878138.357686,2.3818755695683535e-22,3.0347813458937203e-22
1420878138.3579302,2.0020465374083725e-22,-1.0730820817882469e-22
1420878138.3581743,-2.6539364740879893e-22,4.041323568642666e-22
1420878138.3584185,-3.2639125247793425e-22,-2.0712920809152294e-22
1420878138.3586626,2.825583053026372e-22,2.791691706400019e-22
1420878138.3589067,1.2590587879463556e-22,-1.0003500793057534e-22
1420878138.359151,3.8307656728961093e-22,5.471141259562396e-22
1420878138.359395,-2.4737419035381474e-22,-8.727034636053522e-23
1420878138.3596392,7.633659662097638e-23,4.878077493607973e-22
1420878138.3598833,3.080420896370373e-22,-2.512544054289783e-22
1420878138.3601274,-2.1061826651737364e-22,2.7668494252230787e-22
1420878138.3603716,5.460679358876037e-22,3.299053216384714e-23
1420878138.3606157,-3.0559079823305754e-22,5.588306603886816e-22
1420878138.3608599,2.8729052806634715e-22,-1.8617547632427731e-22
1420878138.361104,-2.361406041700982e-22,-1.2506878533247126e-22
1420878138.3613482,1.7419854964036891e-22,6.204446232350542e-22
1420878138.3615923,2.8021948105991424e-22,-6.809431001513475e-22
1420878138.3618364,-6.493294837246098e-23,3.4122230875250643e-22
1420878138.3620806,-1.1112063125601173e-22,-6.613869486433167e-23
1420878138.3623247,-1.1725427529608334e-22,2.466261753858104e-22
1420878138.3625689,-2.2970625726360377e-22,-1.759095996153172e-22
1420878138.362813,4.104752854811385e-22,2.5191559076256836e-22
1420878138.3630571,3.7427456055527043e-22,-1.1491863089033939e-22
1420878138.3633013,-1.6874566917528963e-22,2.018693546647064e-22
1420878138.3635454,2.8765184576825903e-22,-1.1247203833932868e-23
1420878138.3637896,-4.003969990725924e-23,8.451649800498337e-23
1420878138.3640337,-1.6040849202640967e-22,-2.4408157565988232e-22
1420878138.3642778,2.0105095172009062e-22,2.654646227938777e-22
1420878138.364522,-5.766492625986784e-23,-1.294520986934498e-22
1420878138.3647661,1.100222771137284e-22,1.9515571655411977e-22
1420878138.3650103,-5.256899440464539e-23,1.5118499992907393e-22
1420878138.3652544,-1.3899424188949851e-22,-1.6821186930356222e-22
1420878138.3654985,-3.0118892061281615e-22,1.1283298667712709e-22
1420878138.3657427,-1.3021857449044993e-22,-9.568973111819191e-23
1420878138.3659868,4.732756876775904e-22,2.2939582661839345e-22
1420878138.366231,-2.1239978542083245e-22,2.0638800348917032e-22
1420878138.366475,1.9003099592365607e-22,-2.753767305293811e-22
1420878138.3667192,-3.366124661547566e-22,6.302982093242704e-22
1420878138.3669634,-2.420592482705163e-22,-1.42969477466735e-22
1420878138.3672075,2.2766383157426713e-22,-1.4379311358313437e-23
